source_id,candidate_id,legal_entity,source_type,publisher,document_title,reporting_period,publication_date,access_date,source_link,link_check_status,link_check_date,final_url,relevant_location,evidence_fact,archive_status,review_status
S-P05-02,P05,Einbecker Brauhaus AG,annual_report_index,Einbecker Brauhaus AG,Geschäftsbericht 2025,2025,2026,2026-09-12,https://www.einbecker-brauhaus.de/aktionaere/berichte,VERIFIED_INDEX,2026-09-12,https://www.einbecker-brauhaus.de/aktionaere/berichte,2025 report: page 3; pages 10-11; financial statements,121 employees; EUR 33.873 million turnover; EUR 28.521 million balance-sheet total; subsidiaries disclosed,LINK_ONLY,RESEARCHED
S-P08-01,P08,Walter Potthoff GmbH,group_website,Plastiflex Group N.V.,About Plastiflex,current,,2026-09-12,https://www.plastiflex.com/about-us/,VERIFIED,2026-09-12,https://www.plastiflex.com/about-us/,History,Acquisition of Walter Potthoff confirmed,LINK_ONLY,RESEARCHED
S-P08-02,P08,Walter Potthoff GmbH,transaction_release,Renzenbrink & Partner,Plastiflex takeover of Walter Potthoff,2022,2023-01-11,2026-09-12,https://renzenbrink-partner.de/en/deals/renzenbrink-partner-advises-the-plastiflex-group-on-the-takeover-of-walter-potthoff-gmbh/,VERIFIED,2026-09-12,https://renzenbrink-partner.de/en/deals/renzenbrink-partner-advises-the-plastiflex-group-on-the-takeover-of-walter-potthoff-gmbh/,Transaction description,Group has eight production sites after acquisition,LINK_ONLY,RESEARCHED
S-P09-01,P09,RUCH NOVAPLAST GmbH + Co. KG,company_facts,RUCH NOVAPLAST GmbH + Co. KG,Facts and history,current,,2026-09-12,https://www.ruch.de/en/company/facts-history/,VERIFIED,2026-09-12,https://www.ruch.de/en/company/facts-history/,Key facts,EUR 50 million turnover; 400 employees throughout Europe,LINK_ONLY,RESEARCHED
S-P09-02,P09,RUCH NOVAPLAST GmbH + Co. KG,linked_company_website,MORAplast s.r.o.,Company profile,current,,2026-09-12,https://www.moraplast.cz/,REDIRECT_VERIFIED,2026-09-12,https://www.moraplast.cz/cz/,Company profile,MORAplast states that it was founded by RUCH NOVAPLAST GmbH + Co. KG and Delkeskamp Verpackungswerke GmbH,LINK_ONLY,RESEARCHED
S-P17-01,P17,QSIL Ingenieurkeramik GmbH,company_website,STEREON Materials SE,Current group website,current,,2026-09-12,https://fcti.de/,REDIRECT_VERIFIED,2026-09-12,https://www.qsil.com/,Homepage,fcti.de redirects to the current STEREON Materials / former QSIL group website,LINK_ONLY,RESEARCHED
S-P17-02,P17,QSIL Ingenieurkeramik GmbH,acquisition_release,VM Capital GmbH,QSIL acquisition of FCT Ingenieurkeramik,2019,2019-09-12,2026-09-12,https://vmcap.com/2020-01-24/,VERIFIED,2026-09-12,https://vmcap.com/2020-01-24/,Transaction description,Acquisition release reports approximately 750 group employees and more than EUR 115 million turnover,LINK_ONLY,RESEARCHED
S-P06-01,P06,Bada AG,company_imprint,Bada AG,Impressum,current,,2026-09-12,https://bada.de/de/impressum,VERIFIED,2026-09-12,https://bada.de/de/impressum,Impressum,Legal entity Bada AG; registered office at Untere Strut 1 in 77815 Bühl; Amtsgericht Mannheim HRB 211325; board member Andreas Schettler; Bada Hispanaplast S.A. is also named,LINK_ONLY,RESEARCHED
S-P06-02,P06,Bada AG,management_consultancy_profile,Liebich & Partner Management- und Personalberatung AG,Führungskräfteentwicklung: Schwarmintelligenz an der Unternehmensspitze,2023,,2026-09-12,https://www.liebich-partner.de/kunden/fuehrungskraefteentwicklung-bada-ag/,VERIFIED,2026-09-12,https://www.liebich-partner.de/kunden/fuehrungskraefteentwicklung-bada-ag/,Über die Bada AG,Bühl headquarters and Spanish subsidiary; 230 employees and EUR 150 million turnover in 2023; specialty compounder for technical thermoplastics and thermoplastic elastomers,LINK_ONLY,RESEARCHED
S-P06-03,P06,Bada AG,industry_article,aktiv / Institut der deutschen Wirtschaft Köln Medien GmbH,Unternehmen Bada aus Bühl: Warum hier trotz Krise investiert wird,2024,2024-11-28,2026-09-12,https://www.aktiv-online.de/news/unternehmen-bada-aus-buehl-warum-hier-trotz-krise-investiert-wird-19766,VERIFIED,2026-09-12,https://www.aktiv-online.de/news/unternehmen-bada-aus-buehl-warum-hier-trotz-krise-investiert-wird-19766,Company profile and investment,115 employees at the main site; EUR 9 million investment in Bühl and EUR 6 million in the Spanish plant; production of application-specific compounds,LINK_ONLY,RESEARCHED
S-P06-04,P06,Bada AG,company_certificate_index,Bada AG,Zertifikate,current,,2026-09-12,https://bada.de/de/zertifikate,VERIFIED,2026-09-12,https://bada.de/de/zertifikate,Certificate index,Official index provides ISO 14001; EMAS; ISO 45001; ISO 50001 and IATF/ISO certificate documents,LINK_ONLY,RESEARCHED
S-P06-05,P06,Bada AG,energy_management_certificate,Bada AG / certification body,ISO 50001 certificate,2024-2027,2024,2026-09-12,https://bada.de/app/uploads/Zertifikat-Bada-50001-2024.pdf,VERIFIED,2026-09-12,https://bada.de/app/uploads/Zertifikat-Bada-50001-2024.pdf,Certificate,Official certificate document confirms an ISO 50001 energy-management system; certificate number 130721BadaEM01 and validity through 12 July 2027,LINK_ONLY,RESEARCHED
S-P06-06,P06,Bada AG,company_sustainability_page,Bada AG,Nachhaltigkeit,current,,2026-09-12,https://bada.de/de/nachhaltigkeit,VERIFIED,2026-09-12,https://bada.de/de/nachhaltigkeit,Sustainability and BADAGREEN,Recycled compounds; closed-loop approach; BADAGREEN compounds contain at least 25 percent sustainable polymer content,LINK_ONLY,RESEARCHED
S-P06-07,P06,Bada AG,supplier_case_study,Bruckmann Steuerungstechnik GmbH,Retrofit of an extrusion line,current,,2026-09-12,https://bsg.de/en/erfolgsgeschichten/bada-ag/,VERIFIED,2026-09-12,https://bsg.de/en/erfolgsgeschichten/bada-ag/,Case study,Extrusion-line retrofit; modernised main-drive frequency converter; control-cabinet cooling; real-time process-data capture; another extruder retrofit underway,LINK_ONLY,RESEARCHED
S-P07-01,P07,VARIOPLAST Konrad Däbritz GmbH,company_imprint,VARIOPLAST Konrad Däbritz GmbH,Impressum,current,,2026-09-12,https://varioplast.de/de/impressum,VERIFIED,2026-09-12,https://varioplast.de/de/impressum,Impressum,Legal entity VARIOPLAST Konrad Däbritz GmbH; Schlattstraße 31-45; 75443 Ötisheim; Handelsregister Mannheim HRB 511822; managing director Michael Däbritz,LINK_ONLY,RESEARCHED
S-P07-02,P07,VARIOPLAST Konrad Däbritz GmbH,company_process_and_energy_page,VARIOPLAST Konrad Däbritz GmbH,Ressourcenschonende Produktion,current,,2026-09-12,https://varioplast.de/de/serienfertigung/ressourcenschonende-produktion,VERIFIED,2026-09-12,https://varioplast.de/de/serienfertigung/ressourcenschonende-produktion,Production and energy management,Injection moulding; inline coating and PVD; centrally controlled material drying; more than 600000 kWh annual PV generation; more than 50 percent fully electric injection-moulding machines; geothermal energy; heat recovery; solar technology,LINK_ONLY,RESEARCHED
S-P07-03,P07,VARIOPLAST Konrad Däbritz GmbH,environmental_management_certificate,SKZ - Cert GmbH,DIN EN ISO 14001:2015 certificate,2023-2026,2023-07-24,2026-09-12,https://varioplast.de/images/downloads/pdf/zertifikate/Varioplast_Zertifikat_14001_de_2023-2026.pdf,VERIFIED_EXPIRED,2026-09-12,https://varioplast.de/images/downloads/pdf/zertifikate/Varioplast_Zertifikat_14001_de_2023-2026.pdf,Certificate,Certificate number 000677.U/23.R for VARIOPLAST Konrad Däbritz GmbH; valid from 26 July 2023 through 25 July 2026; certificate had expired by the research date and no replacement was located,LINK_ONLY,RESEARCHED
S-P07-04,P07,VARIOPLAST Konrad Däbritz GmbH,regional_transformation_report,Wirtschaftskraft / Wirtschaftsförderung Nordschwarzwald GmbH,Das Hightech-Herz der Zukunftsschmiede Varioplast schlägt im Nordschwarzwald,2025,2025-06-05,2026-09-12,https://wirtschaftskraft.de/artikel/das-hightech-herz-der-zukunftsschmiede-varioplast-schlaegt-im-nordschwarzwald,VERIFIED,2026-09-12,https://wirtschaftskraft.de/artikel/das-hightech-herz-der-zukunftsschmiede-varioplast-schlaegt-im-nordschwarzwald,Company profile and plant report,About 130 employees; planned EUR 17 million revenue for 2025; family company; approximately 40 robots per 100 employees; reported 74 percent primary-energy reduction and 72 percent GWP100 reduction; geothermal cooling; waste-heat heating; PV; battery storage and fast chargers planned for 2025,LINK_ONLY,RESEARCHED
S-P07-05,P07,VARIOPLAST Konrad Däbritz GmbH,published_annual_report_mirror,handelsregister.ai,Public filing profile and annual-report text,2023-2024,2024,2026-09-12,https://handelsregister.ai/de/organizations/oetisheim/bearbeitung-und-veredlung-von-kunststoffwaren/varioplast-konrad-dabritz-gmbh-617b93fba0a74b122588036fdad447e8,VERIFIED,2026-09-12,https://handelsregister.ai/de/organizations/oetisheim/bearbeitung-und-veredlung-von-kunststoffwaren/varioplast-konrad-dabritz-gmbh-617b93fba0a74b122588036fdad447e8,Financials; workforce; management report,EUR 11.27 million entity balance-sheet total for 2024; 110 employees shown for 2024; 2023 report text states 118 average employees plus trainees and describes investments in energy-saving machinery; geothermal energy; PV; process waste heat and heat-pump conversion,LINK_ONLY,RESEARCHED
S-P06-08,P06,Bada AG,environmental_management_certificate,Bada AG / certification body,ISO 14001 certificate,2023-2026,2023-11-14,2026-09-12,https://bada.de/app/uploads/Zertifikat-BADA-14001-2023.pdf,VERIFIED,2026-09-12,https://bada.de/app/uploads/Zertifikat-BADA-14001-2023.pdf,Certificate,Direct certificate for Bada AG; DIN EN ISO 14001:2015; certificate number 121211Bada01; valid through 11 December 2026,LINK_ONLY,RESEARCHED
S-P06-09,P06,Bada AG,emas_document,Bada AG / EMAS registrar,EMAS Urkunde Bada AG 2024,2024,2024,2026-09-12,https://bada.de/app/uploads/EMAS_Urkunde_Bada_AG_2024_DE.pdf,VERIFIED,2026-09-12,https://bada.de/app/uploads/EMAS_Urkunde_Bada_AG_2024_DE.pdf,Certificate,Direct official EMAS document link for Bada AG; detailed validity metadata remains to be extracted,LINK_ONLY,RESEARCHED
S-P04-03,P04,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,company_certificate_index,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,Unsere Zertifizierungen,current,,2026-09-12,https://www.lammsbraeu.de/blog/unsere-zertifizierungen,VERIFIED,2026-09-12,https://www.lammsbraeu.de/blog/unsere-zertifizierungen,Certification overview,Company states EMAS participation since 1996 and work according to EMAS and ISO 14001,LINK_ONLY,RESEARCHED
S-P04-04,P04,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,environmental_management_certificate,Intechnica Cert GmbH,ISO 14001 certificate,2022-2025,2022-06-02,2026-09-12,https://www.lammsbraeu.de/hubfs/NeumarkterLammsbraeu/blog/images/2022/2022%20-%20Blog%20-%20Zertifizierungen/Zert._2022-06-02_Re-ZA%2014k_Neumarkter%20Lammsbr%C3%A4u.pdf,VERIFIED_EXPIRED,2026-09-12,https://www.lammsbraeu.de/hubfs/NeumarkterLammsbraeu/blog/images/2022/2022%20-%20Blog%20-%20Zertifizierungen/Zert._2022-06-02_Re-ZA%2014k_Neumarkter%20Lammsbr%C3%A4u.pdf,Certificate metadata,ISO 14001:2015 certificate UG0573-2022; valid through 2025-06-02,LINK_ONLY,RESEARCHED
S-P04-05,P04,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,emas_document,IHK / Neumarkter Lammsbräu,EMAS document,current unclear,,2026-09-12,https://www.lammsbraeu.de/hubfs/NeumarkterLammsbraeu/blog/images/2022/2022%20-%20Blog%20-%20Zertifizierungen/IHK%20Urkunde%20EMAS.pdf,VERIFIED,2026-09-12,https://www.lammsbraeu.de/hubfs/NeumarkterLammsbraeu/blog/images/2022/2022%20-%20Blog%20-%20Zertifizierungen/IHK%20Urkunde%20EMAS.pdf,EMAS document,Direct official EMAS document exists; exact current validity metadata remains unclear,LINK_ONLY,RESEARCHED
S-P10-01,P10,Oskar Lehmann GmbH & Co. KG,company_imprint,Oskar Lehmann GmbH & Co. KG,Imprint,current,,2026-09-12,https://www.oskar-lehmann.de/en/imprint.html,VERIFIED,2026-09-12,https://www.oskar-lehmann.de/en/imprint.html,Site notice,Exact legal entity; address; HRA 3897; general partner Oskar Lehmann Beteiligungs GmbH HRB 5257,LINK_ONLY,RESEARCHED
S-P10-02,P10,Oskar Lehmann GmbH & Co. KG,company_profile,Oskar Lehmann GmbH & Co. KG,About us,current,,2026-09-12,https://www.oskar-lehmann.de/en/about-us.html,VERIFIED,2026-09-12,https://www.oskar-lehmann.de/en/about-us.html,Competences and history,Injection moulding; internal gas pressure; two-component and hybrid techniques; toolmaking; assembly; about 200 employees and 99 injection-moulding machines in 2018; fourth production hall commissioned in 2020,LINK_ONLY,RESEARCHED
S-P10-03,P10,Oskar Lehmann GmbH & Co. KG,company_process_page,Oskar Lehmann GmbH & Co. KG,Areas of expertise,current,,2026-09-12,https://www.oskar-lehmann.de/en/areas-of-expertise.html,VERIFIED,2026-09-12,https://www.oskar-lehmann.de/en/areas-of-expertise.html,Production,More than 100 injection-moulding machines; more than 2000 tonnes of thermoplastics annually; three-shift operation; CNC; robotics; operating-data collection; toolmaking and surface finishing,LINK_ONLY,RESEARCHED
S-P10-04,P10,Oskar Lehmann GmbH & Co. KG,published_annual_report_mirror,Fusionbase / public filing,Jahresabschluss und Lagebericht 2023,2023,2024-03-07,2026-09-12,https://fusionbase.com/de/data/organization/3618ca1a59de35582bf50c464d9b2472/Oskar%2BLehmann%2BGmbH%2B%26%2BCo.%2BKG,VERIFIED,2026-09-12,https://fusionbase.com/de/data/organization/3618ca1a59de35582bf50c464d9b2472/Oskar%2BLehmann%2BGmbH%2B%26%2BCo.%2BKG,Financial report and management report,231 average employees; EUR 36.499 million revenue; operating-company split; EUR 153 thousand investments; process-efficiency and automation improvements; energy expenses increased materially,LINK_ONLY,RESEARCHED
S-P10-05,P10,Oskar Lehmann GmbH & Co. KG,company_certificate_index,Oskar Lehmann GmbH & Co. KG,Download,current,,2026-09-12,https://www.oskar-lehmann.de/en/download-en.html,VERIFIED,2026-09-12,https://www.oskar-lehmann.de/en/download-en.html,Customer information,Official index lists IATF 16949; ISO 9001; recycling and material-compliance documents but no ISO 50001; ISO 14001 or EMAS document on the check date,LINK_ONLY,RESEARCHED
S-P10-06,P10,Oskar Lehmann GmbH & Co. KG,climate_initiative,IHK Ostwestfalen zu Bielefeld,IHKs starten Klimainitiative gemeinsam klimaneutral 2030,2022-2030,2022-04-13,2026-09-12,https://www.ihk.de/ostwestfalen/ihre-ihk/presse/pressemeldungen/pressemeldungen2022/ihks-starten-klimainitiative-6981412,VERIFIED,2026-09-12,https://www.ihk.de/ostwestfalen/ihre-ihk/presse/pressemeldungen/pressemeldungen2022/ihks-starten-klimainitiative-6981412,First signatories,Oskar Lehmann GmbH & Co. KG is listed as an initial signatory of the regional climate-neutrality-by-2030 initiative,LINK_ONLY,RESEARCHED
S-P10-07,P10,Oskar Lehmann GmbH & Co. KG,regional_news,Blomberg erleben,Pilotprojekt von Oskar Lehmann war ein voller Erfolg,current,,2026-09-12,https://blomberg-erleben.de/pilotprojekt-von-oskar-lehmann-war-ein-voller-erfolg/,VERIFIED,2026-09-12,https://blomberg-erleben.de/pilotprojekt-von-oskar-lehmann-war-ein-voller-erfolg/,Sustainability project,Company reports reuse of its own plastic waste in new products and use of purchased recycled materials,LINK_ONLY,RESEARCHED
S-P07-06,P07,VARIOPLAST Konrad Däbritz GmbH,company_process_and_energy_page,VARIOPLAST Konrad Däbritz GmbH,Ressourcenschonende Produktion,current,,2026-09-13,https://varioplast.de/de/serienfertigung/ressourcenschonende-produktion,VERIFIED,2026-09-13,https://varioplast.de/de/serienfertigung/ressourcenschonende-produktion,Current production and energy measures,Current official page documents PV generation and planned expansion; central material drying; more than 50 percent fully electric injection-moulding machines; geothermal cooling; heat recovery and solar technology. It contains no battery-storage commissioning statement on the check date.,LINK_ONLY,RESEARCHED
S-P10-08,P10,Oskar Lehmann GmbH & Co. KG,company_hosted_technical_report,Plastverarbeiter / Oskar Lehmann GmbH & Co. KG / Dr. Boy GmbH & Co. KG,Mehr Flexibilität bei geringen Betriebskosten,2019,2019-04,2026-09-13,https://www.oskar-lehmann.de/files/ol/news/Reportage%20im%20Magazin.pdf,VERIFIED,2026-09-13,https://www.oskar-lehmann.de/files/ol/news/Reportage%20im%20Magazin.pdf,Pages 1-3,"Company-hosted report documents an internal energy-management officer; internal evaluations of about 65 percent energy savings for the described machine investment; and a BDE system monitoring machine availability, production flows and process data. It does not state ISO 50001 certification or identify the BDE system as load management.",LINK_ONLY,RESEARCHED
S-P10-09,P10,Oskar Lehmann GmbH & Co. KG,federal_initiative_network_page,Fraunhofer ISI / Initiative Energieeffizienz-Netzwerke,Zitate von Netzwerkakteuren,historical,,2026-09-13,https://energie-effizienz-netzwerke.de/een-de/netzwerkidee/stimmen.php,VERIFIED,2026-09-13,https://energie-effizienz-netzwerke.de/een-de/netzwerkidee/stimmen.php,Oskar Lehmann quote and LEEN OWL II reference,"Alexander Maiß is identified for Oskar Lehmann GmbH & Co. KG and states that network participation produced saved energy costs; the page links the company statement to Energieeffizienz-Netzwerk LEEN OWL II. This does not establish a current EnMS, ISO 50001 certificate, demand-response participation or load-management deployment.",LINK_ONLY,RESEARCHED
S-P03-03,P03,Upländer Bauernmolkerei GmbH,company_process_page,Upländer Bauernmolkerei GmbH,Der Weg der Milch,current,,2026-09-13,https://www.bauernmolkerei.de/ueber-uns/produktion-mitarbeiter/produktion/der-weg-der-milch,VERIFIED,2026-09-13,https://www.bauernmolkerei.de/ueber-uns/produktion-mitarbeiter/produktion/der-weg-der-milch,Production,72-74 C pasteurisation; seven-day equipment operation; two filling shifts; tank and line cleaning; temperature-controlled handling and refrigerated distribution,LINK_ONLY,RESEARCHED
S-P03-04,P03,Upländer Bauernmolkerei GmbH,company_investment_page,Upländer Bauernmolkerei GmbH,Bauernmolkerei investiert in Mehrweg-Glas,2020-2021,2021,2026-09-13,https://www.bauernmolkerei.de/aktuelles/neuigkeiten/detailansicht/bauernmolkerei-investiert-in-mehrweg-glas,VERIFIED,2026-09-13,https://www.bauernmolkerei.de/aktuelles/neuigkeiten/detailansicht/bauernmolkerei-investiert-in-mehrweg-glas,Investment,Approximately EUR 20 million new production building; capacity expansion and reusable-glass filling line,LINK_ONLY,RESEARCHED
S-P04-06,P04,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,sustainability_report,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,Nachhaltigkeitsbericht 2023,2023,2024-09-13,2026-09-13,https://www.lammsbraeu.de/hubfs/Dachmarke/resources/documents/Nachhaltigkeitsberichte/GRI-Bericht2023_Neumarkter%20Lammsbr%C3%A4u_final%2020240913.pdf,VERIFIED,2026-09-13,https://www.lammsbraeu.de/hubfs/Dachmarke/resources/documents/Nachhaltigkeitsberichte/GRI-Bericht2023_Neumarkter%20Lammsbr%C3%A4u_final%2020240913.pdf,Pages 79-93; integrated EMAS declaration,Energy-management system and software; process-level Power BI reports; gas heat; central cooling; 125 kWp PV; planned heat electrification and heat-pump/solar combination; 42 percent Scope 1 and 2 reduction target by 2030,LINK_ONLY,RESEARCHED
S-P05-03,P05,Einbecker Brauhaus AG,company_sustainability_page,Einbecker Brauhaus AG,Nachhaltigkeit,current,,2026-09-13,https://www.einbecker-brauhaus.de/leitbild-werte/nachhaltigkeit,VERIFIED,2026-09-13,https://www.einbecker-brauhaus.de/leitbild-werte/nachhaltigkeit,Sustainability,Company states EMAS registration since 2025; PV and CHP self-generation; fermentation CO2 recovery and a transformation programme,LINK_ONLY,RESEARCHED
S-P05-04,P05,Einbecker Brauhaus AG,emas_environmental_statement,Einbecker Brauhaus AG,Umwelterklärung 2025,2024-2025,2025,2026-09-13,https://www.einbecker-brauhaus.de/files/einbecker_gruppe/content/leitbild-und-werte/nachhaltigkeit/umwelterklaerung-ebag-2025.pdf,VERIFIED,2026-09-13,https://www.einbecker-brauhaus.de/files/einbecker_gruppe/content/leitbild-und-werte/nachhaltigkeit/umwelterklaerung-ebag-2025.pdf,Pages 2-9 and 31-34,Brewing and cooling processes; heat recovery; biogas CHP and absorption chilling; PV; process-control renewal; 2045 net-zero and 2031 reduction target; planned electric clean steam and process monitoring,LINK_ONLY,RESEARCHED
S-P12-01,P12,Richard Henkel GmbH,company_imprint,Richard Henkel GmbH,Impressum,current,,2026-09-13,https://www.richard-henkel.de/impressum.html,VERIFIED,2026-09-13,https://www.richard-henkel.de/impressum.html,Impressum,Exact legal entity; address; register identity; managing directors,LINK_ONLY,RESEARCHED
S-P12-02,P12,Richard Henkel GmbH,company_process_page,Richard Henkel GmbH,Oberflächentechnik,current,,2026-09-13,https://www.richard-henkel.de/oberfl%C3%A4chentechnik.html,VERIFIED,2026-09-13,https://www.richard-henkel.de/oberfl%C3%A4chentechnik.html,Production,Mechanical pretreatment; degreasing; phosphating; rinsing; electrostatic and tribo powder coating; closed-loop process statement,LINK_ONLY,RESEARCHED
S-P12-03,P12,Richard Henkel GmbH,emas_environmental_statement,Richard Henkel GmbH,Umwelterklärung 2024,2024-2025,2025-11-21,2026-09-13,https://www.richard-henkel.de/downloads.html?file=files/downloads/2024_Umwelterklaerung_Richard_Henkel.pdf,VERIFIED,2026-09-13,https://www.richard-henkel.de/downloads.html?file=files/downloads/2024_Umwelterklaerung_Richard_Henkel.pdf,Pages 13-17; 34-38,"Powder-coating electricity and LPG heat demand; compressed-air and process-heat projects; operational energy management; PV, storage and heat recovery remain planned; validated EMAS statement",LINK_ONLY,RESEARCHED
S-P12-04,P12,Richard Henkel GmbH,direct_emas_certificate,EMAS / Richard Henkel GmbH,Registrierungsurkunde geprüftes Umweltmanagement,current,,2026-09-13,https://www.richard-henkel.de/downloads.html?file=files/downloads/EMAS+Urkunde_bis_2026.pdf,VERIFIED,2026-09-13,https://www.richard-henkel.de/downloads.html?file=files/downloads/EMAS+Urkunde_bis_2026.pdf,Certificate,EMAS registration evidence for Richard Henkel GmbH; registration DE-136-00012 is corroborated by the validated environmental statement,LINK_ONLY,RESEARCHED
S-P12-05,P12,Richard Henkel GmbH,sustainability_report,Richard Henkel GmbH,Klimawin BW Bericht 2024,2024,2025,2026-09-13,https://www.richard-henkel.de/downloads.html?file=files/downloads/2024_Klimawin-BW_Bericht.pdf,VERIFIED,2026-09-13,https://www.richard-henkel.de/downloads.html?file=files/downloads/2024_Klimawin-BW_Bericht.pdf,Pages 3 and 10-14,35 employees; third-generation management; process-heat and compressed-air efficiency results; Scope 1 baseline and 2026 target,LINK_ONLY,RESEARCHED
S-P13-01,P13,Schmalriede-Zink GmbH,company_imprint,Schmalriede-Zink GmbH,Impressum,current,,2026-09-13,https://www.schmalriede.de/impressum,VERIFIED,2026-09-13,https://www.schmalriede.de/impressum,Impressum,Exact legal entity is Schmalriede-Zink GmbH; address; register identity; managing directors,LINK_ONLY,RESEARCHED
S-P13-02,P13,Schmalriede-Zink GmbH,company_profile,Schmalriede-Zink GmbH,Über Schmalriede-Zink,current,,2026-09-13,https://www.schmalriede.de/unternehmen,VERIFIED,2026-09-13,https://www.schmalriede.de/unternehmen,Company profile,"Family management; 182 employees; three-shift operation; seven halls; 14,000 t of coated goods in 2020",LINK_ONLY,RESEARCHED
S-P13-03,P13,Schmalriede-Zink GmbH,company_process_page,Schmalriede-Zink GmbH,Oberflächenveredelung und Leistungen,current,,2026-09-13,https://www.schmalriede.de/,VERIFIED,2026-09-13,https://www.schmalriede.de/,Production,"Zinc, zinc-iron and zinc-nickel electroplating; heat treatment; phosphating and powder coating",LINK_ONLY,RESEARCHED
