candidate_id,legal_entity,standard,certificate_status,certificate_holder,certificate_number,valid_from,valid_until,issuer,direct_certificate_url,certificate_index_url,checked_date,review_status,notes
P04,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,ISO 14001,PENDING_CHECK,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P04,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,EMAS,PENDING_CHECK,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P05,Einbecker Brauhaus AG,ISO 50001,PENDING_CHECK,Einbecker Brauhaus AG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P05,Einbecker Brauhaus AG,ISO 14001,PENDING_CHECK,Einbecker Brauhaus AG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P05,Einbecker Brauhaus AG,EMAS,PENDING_CHECK,Einbecker Brauhaus AG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P06,Bada AG,ISO 50001,VALID,Bada AG,130721BadaEM01,,2027-07-12,,https://bada.de/app/uploads/Zertifikat-Bada-50001-2024.pdf,https://bada.de/de/zertifikate,2026-09-12,RESEARCHED,Direct official certificate link verified; issuer and start date still require extraction.
P06,Bada AG,ISO 14001,VALID,Bada AG,121211Bada01,2023-11-14,2026-12-11,,https://bada.de/app/uploads/Zertifikat-BADA-14001-2023.pdf,https://bada.de/de/zertifikate,2026-09-12,RESEARCHED,Direct official certificate link verified; scope covers production of technical plastics with product development.
P06,Bada AG,EMAS,DOCUMENT_FOUND_VALIDITY_UNCLEAR,Bada AG,,,,,https://bada.de/app/uploads/EMAS_Urkunde_Bada_AG_2024_DE.pdf,https://bada.de/de/zertifikate,2026-09-12,RESEARCHED,Direct official EMAS document link verified; exact validity metadata still requires extraction.
P07,VARIOPLAST Konrad Däbritz GmbH,ISO 50001,NOT_FOUND_AFTER_CHECK,VARIOPLAST Konrad Däbritz GmbH,,,,,,https://varioplast.de/de/downloads,2026-09-12,RESEARCHED,No ISO 50001 certificate was listed on the official download page at the check date.
P07,VARIOPLAST Konrad Däbritz GmbH,ISO 14001,EXPIRED,Varioplast Konrad Däbritz GmbH,000677.U/23.R,2023-07-26,2026-07-25,SKZ - Cert GmbH,https://varioplast.de/images/downloads/pdf/zertifikate/Varioplast_Zertifikat_14001_de_2023-2026.pdf,https://varioplast.de/de/downloads,2026-09-12,RESEARCHED,Direct certificate verified; expired before the research date. No successor certificate was located.
P07,VARIOPLAST Konrad Däbritz GmbH,EMAS,NOT_FOUND_AFTER_CHECK,VARIOPLAST Konrad Däbritz GmbH,,,,,,https://varioplast.de/de/downloads,2026-09-12,RESEARCHED,No EMAS document was listed on the official download page at the check date.
P08,Walter Potthoff GmbH,ISO 50001,NOT_REQUIRED_EXCLUDED,Walter Potthoff GmbH,,,,,,,2026-09-12,NOT_REQUIRED,Candidate excluded at the SME eligibility gate; certificate research is not required for scoring.
P08,Walter Potthoff GmbH,ISO 14001,NOT_REQUIRED_EXCLUDED,Walter Potthoff GmbH,,,,,,,2026-09-12,NOT_REQUIRED,Candidate excluded at the SME eligibility gate; certificate research is not required for scoring.
P08,Walter Potthoff GmbH,EMAS,NOT_REQUIRED_EXCLUDED,Walter Potthoff GmbH,,,,,,,2026-09-12,NOT_REQUIRED,Candidate excluded at the SME eligibility gate; certificate research is not required for scoring.
P09,RUCH NOVAPLAST GmbH + Co. KG,ISO 50001,NOT_REQUIRED_EXCLUDED,RUCH NOVAPLAST GmbH + Co. KG,,,,,,,2026-09-12,NOT_REQUIRED,Candidate excluded at the SME eligibility gate; certificate research is not required for scoring.
P09,RUCH NOVAPLAST GmbH + Co. KG,ISO 14001,NOT_REQUIRED_EXCLUDED,RUCH NOVAPLAST GmbH + Co. KG,,,,,,,2026-09-12,NOT_REQUIRED,Candidate excluded at the SME eligibility gate; certificate research is not required for scoring.
P09,RUCH NOVAPLAST GmbH + Co. KG,EMAS,NOT_REQUIRED_EXCLUDED,RUCH NOVAPLAST GmbH + Co. KG,,,,,,,2026-09-12,NOT_REQUIRED,Candidate excluded at the SME eligibility gate; certificate research is not required for scoring.
P10,Oskar Lehmann GmbH & Co. KG,ISO 50001,PENDING_CHECK,Oskar Lehmann GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P10,Oskar Lehmann GmbH & Co. KG,ISO 14001,PENDING_CHECK,Oskar Lehmann GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P10,Oskar Lehmann GmbH & Co. KG,EMAS,PENDING_CHECK,Oskar Lehmann GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P11,B+T Oberflächentechnik GmbH,ISO 50001,PENDING_CHECK,B+T Oberflächentechnik GmbH,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P11,B+T Oberflächentechnik GmbH,ISO 14001,PENDING_CHECK,B+T Oberflächentechnik GmbH,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P11,B+T Oberflächentechnik GmbH,EMAS,PENDING_CHECK,B+T Oberflächentechnik GmbH,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P12,Richard Henkel GmbH,ISO 50001,PENDING_CHECK,Richard Henkel GmbH,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P12,Richard Henkel GmbH,ISO 14001,PENDING_CHECK,Richard Henkel GmbH,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P12,Richard Henkel GmbH,EMAS,PENDING_CHECK,Richard Henkel GmbH,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P13,Schmalriede-Zink GmbH & Co. KG,ISO 50001,PENDING_CHECK,Schmalriede-Zink GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P13,Schmalriede-Zink GmbH & Co. KG,ISO 14001,PENDING_CHECK,Schmalriede-Zink GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P13,Schmalriede-Zink GmbH & Co. KG,EMAS,PENDING_CHECK,Schmalriede-Zink GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P14,Trio-Eloxal GmbH & Co. KG,ISO 50001,PENDING_CHECK,Trio-Eloxal GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P14,Trio-Eloxal GmbH & Co. KG,ISO 14001,PENDING_CHECK,Trio-Eloxal GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P14,Trio-Eloxal GmbH & Co. KG,EMAS,PENDING_CHECK,Trio-Eloxal GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P15,ELOXAL BARZ GmbH & Co KG,ISO 50001,PENDING_CHECK,ELOXAL BARZ GmbH & Co KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P15,ELOXAL BARZ GmbH & Co KG,ISO 14001,PENDING_CHECK,ELOXAL BARZ GmbH & Co KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P15,ELOXAL BARZ GmbH & Co KG,EMAS,PENDING_CHECK,ELOXAL BARZ GmbH & Co KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P16,Sembach GmbH & Co. KG,ISO 50001,PENDING_CHECK,Sembach GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P16,Sembach GmbH & Co. KG,ISO 14001,PENDING_CHECK,Sembach GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P16,Sembach GmbH & Co. KG,EMAS,PENDING_CHECK,Sembach GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P17,QSIL Ingenieurkeramik GmbH,ISO 50001,NOT_REQUIRED_EXCLUDED,QSIL Ingenieurkeramik GmbH,,,,,,,2026-09-12,NOT_REQUIRED,Candidate excluded at the SME eligibility gate; certificate research is not required for scoring.
P17,QSIL Ingenieurkeramik GmbH,ISO 14001,NOT_REQUIRED_EXCLUDED,QSIL Ingenieurkeramik GmbH,,,,,,,2026-09-12,NOT_REQUIRED,Candidate excluded at the SME eligibility gate; certificate research is not required for scoring.
P17,QSIL Ingenieurkeramik GmbH,EMAS,NOT_REQUIRED_EXCLUDED,QSIL Ingenieurkeramik GmbH,,,,,,,2026-09-12,NOT_REQUIRED,Candidate excluded at the SME eligibility gate; certificate research is not required for scoring.
P18,Glashütte Lamberts Waldsassen GmbH,ISO 50001,PENDING_CHECK,Glashütte Lamberts Waldsassen GmbH,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P18,Glashütte Lamberts Waldsassen GmbH,ISO 14001,PENDING_CHECK,Glashütte Lamberts Waldsassen GmbH,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P18,Glashütte Lamberts Waldsassen GmbH,EMAS,PENDING_CHECK,Glashütte Lamberts Waldsassen GmbH,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P19,Glasfabrik Lamberts GmbH + Co. KG,ISO 50001,PENDING_CHECK,Glasfabrik Lamberts GmbH + Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P19,Glasfabrik Lamberts GmbH + Co. KG,ISO 14001,PENDING_CHECK,Glasfabrik Lamberts GmbH + Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P19,Glasfabrik Lamberts GmbH + Co. KG,EMAS,PENDING_CHECK,Glasfabrik Lamberts GmbH + Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P20,DERIX Glasstudios GmbH & Co. KG,ISO 50001,PENDING_CHECK,DERIX Glasstudios GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P20,DERIX Glasstudios GmbH & Co. KG,ISO 14001,PENDING_CHECK,DERIX Glasstudios GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
P20,DERIX Glasstudios GmbH & Co. KG,EMAS,PENDING_CHECK,DERIX Glasstudios GmbH & Co. KG,,,,,,,2026-09-12,NOT_REVIEWED,Direct certificate and official index still require research before classification.
